                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                  1.165,                 4.5986,                 1.4666,                      0,                      0,                      0,                      0,                  2.791,                 5.7596,                 2.2594,              2.178e-05,              2.178e-05,              2.178e-05
                     79,                 1.0045,                 4.4582,                 1.3089,                      0,                      0,                      0,                      0,                  2.791,                 5.7596,                 2.2594,             2.1144e-05,             2.1144e-05,             2.1144e-05
                     80,                 1.4169,                 4.5743,                 1.5387,                      0,                      0,                      0,                      0,                  2.791,                 5.7596,                 2.2594,             2.0485e-05,             2.0485e-05,             2.0485e-05
                     81,                 1.0162,                  4.501,                  1.354,                      0,                      0,                      0,                      0,                 2.7798,                 5.7753,                 2.2521,             1.9802e-05,             1.9802e-05,             1.9802e-05
                     82,                 1.5241,                  4.758,                  1.598,                      0,                      0,                      0,                      0,                 2.7798,                 5.7753,                 2.2521,             1.9095e-05,             1.9095e-05,             1.9095e-05
                     83,                 1.0825,                 4.4381,                  1.382,                      0,                      0,                      0,                      0,                 2.7798,                 5.7753,                 2.2521,             1.8365e-05,             1.8365e-05,             1.8365e-05
                     84,                 1.6185,                 4.7307,                 1.6998,                      0,                      0,                      0,                      0,                 2.7791,                 5.7528,                 2.2711,             1.7611e-05,             1.7611e-05,             1.7611e-05
                     85,                 1.6396,                 4.8811,                 1.7152,                      0,                      0,                      0,                      0,                 2.7791,                 5.7528,                 2.2711,             1.6833e-05,             1.6833e-05,             1.6833e-05
                     86,                 1.3493,                 4.5234,                 1.3956,                      0,                      0,                      0,                      0,                 2.7791,                 5.7528,                 2.2711,             1.6032e-05,             1.6032e-05,             1.6032e-05
                     87,                 1.1484,                 4.5308,                 1.3852,                      0,                      0,                      0,                      0,                 2.7791,                 5.7528,                 2.2711,             1.5208e-05,             1.5208e-05,             1.5208e-05
                     88,                 1.3015,                 4.6851,                  1.564,                      0,                      0,                      0,                      0,                 2.7561,                  5.768,                 2.2598,              1.436e-05,              1.436e-05,              1.436e-05
                     89,                 1.6821,                 4.6762,                 1.5925,                      0,                      0,                      0,                      0,                 2.7561,                  5.768,                 2.2598,             1.3488e-05,             1.3488e-05,             1.3488e-05
                     90,                0.97839,                 4.4605,                 1.3106,                      0,                      0,                      0,                      0,                 2.7561,                  5.768,                 2.2598,             1.2593e-05,             1.2593e-05,             1.2593e-05
                     91,                 1.7052,                 4.7387,                 1.6274,                      0,                      0,                      0,                      0,                 2.7561,                  5.768,                 2.2598,             1.1674e-05,             1.1674e-05,             1.1674e-05
                     92,                 1.6191,                  4.832,                 1.6847,                      0,                      0,                      0,                      0,                 2.7656,                 5.7597,                 2.2715,             1.0732e-05,             1.0732e-05,             1.0732e-05
                     93,                 1.3734,                 4.7358,                 1.4532,                      0,                      0,                      0,                      0,                 2.7656,                 5.7597,                 2.2715,             9.7656e-06,             9.7656e-06,             9.7656e-06
                     94,                 1.8931,                 4.7599,                 1.7447,                      0,                      0,                      0,                      0,                 2.7656,                 5.7597,                 2.2715,             8.7761e-06,             8.7761e-06,             8.7761e-06
                     95,                 1.5495,                 4.8832,                 1.7922,                      0,                      0,                      0,                      0,                 2.7656,                 5.7597,                 2.2715,             7.7631e-06,             7.7631e-06,             7.7631e-06
                     96,                 1.4857,                 4.8846,                 1.7332,                      0,                      0,                      0,                      0,                 2.8037,                 5.7624,                 2.2765,             6.7265e-06,             6.7265e-06,             6.7265e-06
                     97,                 1.2334,                 4.8065,                 1.4954,                      0,                      0,                      0,                      0,                 2.8037,                 5.7624,                 2.2765,             5.6663e-06,             5.6663e-06,             5.6663e-06
                     98,                 1.2738,                 4.8198,                 1.5471,                      0,                      0,                      0,                      0,                 2.8037,                 5.7624,                 2.2765,             4.5826e-06,             4.5826e-06,             4.5826e-06
                     99,                 1.5792,                 4.7629,                 1.5489,                      0,                      0,                      0,                      0,                 2.8037,                 5.7624,                 2.2765,             3.4753e-06,             3.4753e-06,             3.4753e-06
                    100,                 1.3972,                 4.7904,                 1.7193,                      0,                      0,                      0,                      0,                 2.8432,                 5.7885,                 2.2508,             2.3444e-06,             2.3444e-06,             2.3444e-06
